adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
False,/5yk3QwnQxzwKfhU1tlDkV2PSIBz.jpg,[18],219246,['KR'],ko,폭싹 속았수다,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs — proving love endures across time.",112.8772,/Afrz3QAcQcsT6w4S5wrKUxmYPWM.jpg,2025-03-07,When Life Gives You Tangerines,9.003,162
False,/2meX1nMdScFOoV4370rqHWKmXhY.jpg,"[10759, 9648, 18]",93405,['KR'],ko,오징어 게임,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",75.5149,/1QdXdRYfktUSONkl1oD5gc6Be0s.jpg,2021-09-17,Squid Game,7.9,15677
False,/a8a8z4aJr40zYgRMfmSESppX2eO.jpg,"[10764, 35]",70672,['KR'],ko,아는 형님,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",58.0235,/2jIi55JtYKJTL1km8qHMuUilOWo.jpg,2015-12-05,Men on a Mission,7.4,33
False,/hQ4GRoPuF3f6whlclxveFoOODnk.jpg,"[18, 9648, 10765]",135340,['KR'],ko,해피니스,"A new type of deadly virus spread throughout the city, and the apartment where has different social classes of people is sealed off. With the fear of the virus, and the conflicts of the different classes, the residents have to spend and survive in the new habitation.",72.166,/j3Q4Vamcb0p7uoXMkkvIp36oMJe.jpg,2021-11-05,Happiness,8.1,499
False,/uBp9d5J58yzjafKiWsz7cdctmIY.jpg,[10764],73036,['KR'],ko,냉장고를 부탁해,The best chefs of Korea compete to create impromptu dishes that feature ingredients found inside the guest stars' personal refrigerators.,52.1553,/zc7qvd7CVuYpWMXZxuSbhG8n8g1.jpg,2014-11-17,Please Take Care of My Refrigerator,8.5,2
False,/qpDzeZ41Sr7P59RSh9U4SVnMRUs.jpg,"[10759, 18]",200709,['KR'],ko,약한영웅,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.",36.1201,/xRw3akJQdfgqx0x4fiHW7nIkEUJ.jpg,2022-11-18,Weak Hero,8.4,142
False,/66X23qG4RPk7XPDQCFFHHCage3M.jpg,"[80, 18]",233686,['KR'],ko,악연,"A fateful accident intertwines six lives in a thrilling tale of karma and crime, where each must face their own dark truths and connections.",31.0852,/2G99FfWYCAdsmAIZO8zGFjcDidY.jpg,2025-04-04,Karma,7.4,26
False,/nVwNws9cPuuXRYAjmee8MX0lu3O.jpg,"[16, 10762, 10759, 35, 10765]",72237,['KR'],ko,최강전사 미니특공대,Four animal superheroes called the Miniforce transform into robots to protect small and defenseless creatures from the hands of scheming villains.,27.1786,/4SCNu5uw54AgyO7pMWWonuXrUSD.jpg,2014-09-03,Miniforce,6.0,4
False,/ihiHcoRfj4ga9xiIrD4KIQA5sO2.jpg,"[18, 9648, 10759]",113268,['KR'],ko,경이로운 소문,"A group of supernatural demon hunters known as ""Counters,"" each with unique abilities, disguise themselves as employees of a noodle restaurant, while tracking down evil spirits that terrorize the mortal world.",27.5246,/bsbuXbQqryQ8aJlwXFkFXbrYko1.jpg,2020-11-28,The Uncanny Counter,8.328,357
False,/mceCXNTny6a5F3rQgShLoyARw4l.jpg,"[10765, 10759]",96648,['KR'],ko,스위트홈,"As humans turn into savage monsters and the world plunges into terror, a handful of survivors fight for their lives — and to hold on to their humanity.",26.496,/zcugNxDg59YwIf3dUHsrHmO7pc1.jpg,2020-12-18,Sweet Home,8.274000000000001,1437
False,/rKsd2InqKFH4NMPCTBFDo6m4tnm.jpg,"[10759, 18, 10765]",99966,['KR'],ko,지금 우리 학교는,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,25.2749,/pTEFqAjLd5YTsMD6NSUxV6Dq7A6.jpg,2022-01-28,All of Us Are Dead,8.29,4024
False,/rHiz6GHA2bUPEtTDZvhbTmzlNm6.jpg,"[18, 35]",198004,['KR'],ko,킹더랜드,"Amid a tense inheritance fight, a charming heir clashes with his hardworking employee who's known for her irresistible smile — which he cannot stand.",24.7228,/tW8BMRCYSe6nySvZ749pzc31x2m.jpg,2023-06-17,King the Land,8.181,495
